Detailed Percentile spectrum:
     Value   Percentile   TotalCount 1/(1-Percentile)

     0.094     0.000000            2         1.00
     1.113     0.100000     45045559         1.11
     1.415     0.200000     89896811         1.25
     1.679     0.300000    134953604         1.43
     1.952     0.400000    179938920         1.67
     2.263     0.500000    224899480         2.00
     2.443     0.550000    247300579         2.22
     2.649     0.600000    269872566         2.50
     2.881     0.650000    292196482         2.86
     3.147     0.700000    314667984         3.33
     3.451     0.750000    337135873         4.00
     3.625     0.775000    348443128         4.44
     3.813     0.800000    359574961         5.00
     4.021     0.825000    370838139         5.71
     4.247     0.850000    382038072         6.67
     4.499     0.875000    393407398         8.00
     4.635     0.887500    398950207         8.89
     4.783     0.900000    404546371        10.00
     4.947     0.912500    410221430        11.43
     5.123     0.925000    415797440        13.33
     5.319     0.937500    421420530        16.00
     5.427     0.943750    424268134        17.78
     5.539     0.950000    426986312        20.00
     5.667     0.956250    429840262        22.86
     5.807     0.962500    432671541        26.67
     5.967     0.968750    435466369        32.00
     6.055     0.971875    436836244        35.56
     6.151     0.975000    438221721        40.00
     6.259     0.978125    439629303        45.71
     6.383     0.981250    441046262        53.33
     6.523     0.984375    442453048        64.00
     6.603     0.985938    443157818        71.11
     6.691     0.987500    443865536        80.00
     6.787     0.989062    444547348        91.43
     6.899     0.990625    445244630       106.67
     7.027     0.992188    445943225       128.00
     7.099     0.992969    446295268       142.22
     7.179     0.993750    446653525       160.00
     7.267     0.994531    447000645       182.86
     7.371     0.995313    447357546       213.33
     7.491     0.996094    447699763       256.00
     7.563     0.996484    447874633       284.44
     7.643     0.996875    448052467       320.00
     7.731     0.997266    448227220       365.71
     7.835     0.997656    448407019       426.67
     7.955     0.998047    448581373       512.00
     8.023     0.998242    448667759       568.89
     8.103     0.998437    448754846       640.00
     8.191     0.998633    448841910       731.43
     8.287     0.998828    448927834       853.33
     8.407     0.999023    449016938      1024.00
     8.479     0.999121    449062006      1137.78
     8.559     0.999219    449104680      1280.00
     8.647     0.999316    449148493      1462.86
     8.743     0.999414    449192331      1706.67
     8.863     0.999512    449236583      2048.00
     8.935     0.999561    449257708      2275.56
     9.015     0.999609    449279460      2560.00
     9.103     0.999658    449300966      2925.71
     9.215     0.999707    449323284      3413.33
     9.335     0.999756    449345422      4096.00
     9.399     0.999780    449355998      4551.11
     9.471     0.999805    449367224      5120.00
     9.559     0.999829    449378328      5851.43
     9.663     0.999854    449388998      6826.67
     9.783     0.999878    449399507      8192.00
     9.863     0.999890    449405485      9102.22
     9.935     0.999902    449410795     10240.00
    10.023     0.999915    449416246     11702.86
    10.119     0.999927    449421642     13653.33
    10.207     0.999939    449426900     16384.00
    10.263     0.999945    449429854     18204.44
    10.319     0.999951    449432439     20480.00
    10.383     0.999957    449435308     23405.71
    10.471     0.999963    449437973     27306.67
    10.599     0.999969    449440617     32768.00
    10.655     0.999973    449441982     36408.89
    10.759     0.999976    449443357     40960.00
    10.927     0.999979    449444763     46811.43
    11.127     0.999982    449446148     54613.33
    11.287     0.999985    449447499     65536.00
    11.351     0.999986    449448160     72817.78
    11.431     0.999988    449448852     81920.00
    11.575     0.999989    449449543     93622.86
    11.751     0.999991    449450244    109226.67
    11.895     0.999992    449450896    131072.00
    12.295     0.999993    449451268    145635.56
    12.375     0.999994    449451589    163840.00
    12.447     0.999995    449451957    187245.71
    12.519     0.999995    449452283    218453.33
    12.599     0.999996    449452633    262144.00
    12.631     0.999997    449452788    291271.11
    12.663     0.999997    449452964    327680.00
    12.967     0.999997    449453126    374491.43
    13.047     0.999998    449453297    436906.67
    13.119     0.999998    449453467    524288.00
    13.151     0.999998    449453546    582542.22
    13.191     0.999998    449453640    655360.00
    13.247     0.999999    449453718    748982.86
    13.327     0.999999    449453803    873813.33
    13.415     0.999999    449453903   1048576.00
    13.471     0.999999    449453946   1165084.44
    13.487     0.999999    449453982   1310720.00
    13.575     0.999999    449454037   1497965.71
    13.599     0.999999    449454069   1747626.67
    13.615     1.000000    449454110   2097152.00
    13.631     1.000000    449454141   2330168.89
    13.639     1.000000    449454159   2621440.00
    13.655     1.000000    449454168   2995931.43
    13.671     1.000000    449454209   3495253.33
    13.679     1.000000    449454223   4194304.00
    13.679     1.000000    449454223   4660337.78
    13.687     1.000000    449454244   5242880.00
    13.687     1.000000    449454244   5991862.86
    13.695     1.000000    449454265   6990506.67
    13.695     1.000000    449454265   8388608.00
    13.703     1.000000    449454271   9320675.55
    13.711     1.000000    449454278  10485760.00
    13.719     1.000000    449454293  11983725.71
    13.719     1.000000    449454293  13981013.34
    13.719     1.000000    449454293  16777216.00
    13.719     1.000000    449454293  18641351.10
    41.951     1.000000    449454301  20971519.98
    41.951     1.000000    449454301  23967451.45
    41.951     1.000000    449454301  27962026.68
    42.623     1.000000    449454306  33554432.00
    42.623     1.000000    449454306  37282702.28
    43.551     1.000000    449454307  41943039.96
    44.095     1.000000    449454315  47934902.91
    44.095     1.000000    449454315  55924053.19
    44.095     1.000000    449454315  67108864.00
    44.095     1.000000    449454315  74565404.57
    44.095     1.000000    449454315  83886080.31
    44.095     1.000000    449454315  95869805.31
    44.095     1.000000    449454315 111848106.39
    44.095     1.000000    449454315 134217728.00
    44.095     1.000000    449454315 149130807.90
    44.095     1.000000    449454315 167772160.62
    44.095     1.000000    449454315 191739610.61
    44.095     1.000000    449454315 223696215.56
    44.383     1.000000    449454317 268435456.00
    44.383     1.000000    449454317          inf
#[Mean    =        2.641, StdDeviation   =        1.452]
#[Max     =       44.352, Total count    =    449454317]
#[Buckets =           27, SubBuckets     =         2048]
