Detailed Percentile spectrum:
     Value   Percentile   TotalCount 1/(1-Percentile)

     0.104     0.000000            1         1.00
     1.516     0.100000     87031713         1.11
     2.012     0.200000    174165988         1.25
     2.461     0.300000    261163367         1.43
     2.903     0.400000    348066805         1.67
     3.351     0.500000    435326301         2.00
     3.579     0.550000    478653806         2.22
     3.815     0.600000    522190507         2.50
     4.059     0.650000    565794234         2.86
     4.307     0.700000    609140270         3.33
     4.567     0.750000    652566219         4.00
     4.707     0.775000    674624077         4.44
     4.855     0.800000    696528161         5.00
     5.011     0.825000    717877048         5.71
     5.187     0.850000    739828957         6.67
     5.379     0.875000    761510271         8.00
     5.483     0.887500    772201272         8.89
     5.599     0.900000    783229093        10.00
     5.723     0.912500    793908966        11.43
     5.867     0.925000    804913946        13.33
     6.031     0.937500    815850035        16.00
     6.123     0.943750    821309917        17.78
     6.223     0.950000    826727956        20.00
     6.331     0.956250    832009297        22.86
     6.459     0.962500    837541958        26.67
     6.603     0.968750    842920523        32.00
     6.687     0.971875    845667719        35.56
     6.779     0.975000    848365192        40.00
     6.883     0.978125    851088247        45.71
     6.999     0.981250    853746697        53.33
     7.139     0.984375    856490647        64.00
     7.215     0.985938    857795943        71.11
     7.303     0.987500    859157139        80.00
     7.403     0.989062    860547873        91.43
     7.515     0.990625    861902653       106.67
     7.643     0.992188    863230123       128.00
     7.719     0.992969    863920699       142.22
     7.803     0.993750    864609826       160.00
     7.895     0.994531    865281567       182.86
     8.003     0.995313    865958620       213.33
     8.131     0.996094    866627688       256.00
     8.207     0.996484    866974150       284.44
     8.295     0.996875    867332707       320.00
     8.383     0.997266    867650384       365.71
     8.487     0.997656    867986740       426.67
     8.615     0.998047    868342890       512.00
     8.679     0.998242    868496990       568.89
     8.759     0.998437    868670343       640.00
     8.847     0.998633    868837417       731.43
     8.951     0.998828    869006081       853.33
     9.079     0.999023    869176265      1024.00
     9.151     0.999121    869258191      1137.78
     9.239     0.999219    869344055      1280.00
     9.343     0.999316    869432983      1462.86
     9.455     0.999414    869516307      1706.67
     9.591     0.999512    869599668      2048.00
     9.671     0.999561    869641023      2275.56
     9.767     0.999609    869682746      2560.00
     9.887     0.999658    869726821      2925.71
    10.023     0.999707    869767160      3413.33
    10.199     0.999756    869811282      4096.00
    10.287     0.999780    869831248      4551.11
    10.399     0.999805    869853161      5120.00
    10.519     0.999829    869873136      5851.43
    10.679     0.999854    869895000      6826.67
    10.855     0.999878    869915949      8192.00
    10.983     0.999890    869926781      9102.22
    11.143     0.999902    869937199     10240.00
    11.447     0.999915    869947580     11702.86
    11.839     0.999927    869958178     13653.33
    13.543     0.999939    869968734     16384.00
    16.735     0.999945    869974085     18204.44
    19.087     0.999951    869979362     20480.00
    22.287     0.999957    869984704     23405.71
    24.655     0.999963    869989960     27306.67
    27.743     0.999969    869995335     32768.00
    28.879     0.999973    869997945     36408.89
    30.383     0.999976    870000593     40960.00
    31.999     0.999979    870003261     46811.43
    32.991     0.999982    870005968     54613.33
    34.335     0.999985    870008599     65536.00
    34.719     0.999986    870009899     72817.78
    36.095     0.999988    870011223     81920.00
    36.831     0.999989    870012665     93622.86
    37.311     0.999991    870013950    109226.67
    37.823     0.999992    870015246    131072.00
    38.111     0.999993    870015887    145635.56
    38.559     0.999994    870016537    163840.00
    38.719     0.999995    870017175    187245.71
    39.263     0.999995    870017848    218453.33
    39.583     0.999996    870018511    262144.00
    39.903     0.999997    870018864    291271.11
    40.991     0.999997    870019159    327680.00
    42.303     0.999997    870019507    374491.43
    43.423     0.999998    870019832    436906.67
    46.495     0.999998    870020157    524288.00
    47.295     0.999998    870020355    582542.22
    47.583     0.999998    870020490    655360.00
    49.663     0.999999    870020658    748982.86
    52.063     0.999999    870020824    873813.33
    52.319     0.999999    870020988   1048576.00
    52.799     0.999999    870021070   1165084.44
    53.375     0.999999    870021163   1310720.00
    54.271     0.999999    870021240   1497965.71
    54.431     0.999999    870021325   1747626.67
    57.087     1.000000    870021403   2097152.00
    57.343     1.000000    870021447   2330168.89
    57.951     1.000000    870021489   2621440.00
    58.015     1.000000    870021524   2995931.43
    58.367     1.000000    870021580   3495253.33
    59.327     1.000000    870021612   4194304.00
    59.391     1.000000    870021658   4660337.78
    59.391     1.000000    870021658   5242880.00
    62.015     1.000000    870021670   5991862.86
    62.335     1.000000    870021736   6990506.67
