Detailed Percentile spectrum:
     Value   Percentile   TotalCount 1/(1-Percentile)

     0.215     0.000000            2         1.00
     1.594     0.100000     29051752         1.11
     2.135     0.200000     58031198         1.25
     2.589     0.300000     87139208         1.43
     3.013     0.400000    116073897         1.67
     3.433     0.500000    145193433         2.00
     3.643     0.550000    159681401         2.22
     3.855     0.600000    174105602         2.50
     4.073     0.650000    188659565         2.86
     4.291     0.700000    203166320         3.33
     4.515     0.750000    217756064         4.00
     4.631     0.775000    224890729         4.44
     4.759     0.800000    232291009         5.00
     4.895     0.825000    239546397         5.71
     5.043     0.850000    246757488         6.67
     5.203     0.875000    253884758         8.00
     5.291     0.887500    257526121         8.89
     5.383     0.900000    261136736        10.00
     5.483     0.912500    264849875        11.43
     5.587     0.925000    268421016        13.33
     5.707     0.937500    272108457        16.00
     5.771     0.943750    273892395        17.78
     5.839     0.950000    275658055        20.00
     5.919     0.956250    277536562        22.86
     6.003     0.962500    279281016        26.67
     6.103     0.968750    281095735        32.00
     6.159     0.971875    282001106        35.56
     6.223     0.975000    282939989        40.00
     6.291     0.978125    283834902        45.71
     6.371     0.981250    284744037        53.33
     6.467     0.984375    285648871        64.00
     6.519     0.985938    286077457        71.11
     6.583     0.987500    286547621        80.00
     6.651     0.989062    286989325        91.43
     6.727     0.990625    287436158       106.67
     6.815     0.992188    287892386       128.00
     6.867     0.992969    288126035       142.22
     6.919     0.993750    288336739       160.00
     6.983     0.994531    288573685       182.86
     7.047     0.995313    288794044       213.33
     7.119     0.996094    289018331       256.00
     7.159     0.996484    289132993       284.44
     7.203     0.996875    289248325       320.00
     7.251     0.997266    289362145       365.71
     7.307     0.997656    289476411       426.67
     7.371     0.998047    289586754       512.00
     7.407     0.998242    289640904       568.89
     7.451     0.998437    289699831       640.00
     7.499     0.998633    289755109       731.43
     7.555     0.998828    289810502       853.33
     7.627     0.999023    289866792      1024.00
     7.671     0.999121    289895604      1137.78
     7.719     0.999219    289923674      1280.00
     7.775     0.999316    289951499      1462.86
     7.843     0.999414    289980278      1706.67
     7.919     0.999512    290008648      2048.00
     7.959     0.999561    290022468      2275.56
     8.003     0.999609    290036330      2560.00
     8.055     0.999658    290050861      2925.71
     8.111     0.999707    290064922      3413.33
     8.183     0.999756    290079215      4096.00
     8.223     0.999780    290086221      4551.11
     8.263     0.999805    290092959      5120.00
     8.311     0.999829    290100020      5851.43
     8.367     0.999854    290107486      6826.67
     8.431     0.999878    290114483      8192.00
     8.471     0.999890    290118086      9102.22
     8.511     0.999902    290121443     10240.00
     8.559     0.999915    290124647     11702.86
     8.615     0.999927    290128212     13653.33
     8.687     0.999939    290131927     16384.00
     8.719     0.999945    290133510     18204.44
     8.759     0.999951    290135436     20480.00
     8.799     0.999957    290137114     23405.71
     8.847     0.999963    290138749     27306.67
     8.919     0.999969    290140571     32768.00
     8.967     0.999973    290141419     36408.89
     9.023     0.999976    290142363     40960.00
     9.111     0.999979    290143183     46811.43
     9.231     0.999982    290144073     54613.33
     9.383     0.999985    290144971     65536.00
     9.471     0.999986    290145401     72817.78
     9.615     0.999988    290145831     81920.00
     9.711     0.999989    290146287     93622.86
     9.775     0.999991    290146750    109226.67
     9.823     0.999992    290147205    131072.00
     9.847     0.999993    290147386    145635.56
     9.887     0.999994    290147623    163840.00
     9.935     0.999995    290147838    187245.71
     9.983     0.999995    290148080    218453.33
    10.023     0.999996    290148268    262144.00
    10.047     0.999997    290148380    291271.11
    10.071     0.999997    290148494    327680.00
    10.095     0.999997    290148606    374491.43
    10.127     0.999998    290148709    436906.67
    10.175     0.999998    290148822    524288.00
    10.423     0.999998    290148873    582542.22
    11.023     0.999998    290148933    655360.00
    12.599     0.999999    290148993    748982.86
    13.199     0.999999    290149053    873813.33
    13.351     0.999999    290149092   1048576.00
    26.015     0.999999    290149137   1165084.44
    26.031     0.999999    290149156   1310720.00
    26.623     0.999999    290149184   1497965.71
    26.655     0.999999    290149215   1747626.67
    28.479     1.000000    290149239   2097152.00
    28.495     1.000000    290149246   2330168.89
    28.543     1.000000    290149269   2621440.00
    28.591     1.000000    290149289   2995931.43
    28.591     1.000000    290149289   3495253.33
    28.671     1.000000    290149313   4194304.00
    28.671     1.000000    290149313   4660337.78
    28.671     1.000000    290149313   5242880.00
    28.687     1.000000    290149323   5991862.86
    28.703     1.000000    290149346   6990506.67
    28.703     1.000000    290149346   8388608.00
    28.703     1.000000    290149346   9320675.55
    28.703     1.000000    290149346  10485760.00
    28.703     1.000000    290149346  11983725.71
    28.719     1.000000    290149355  13981013.34
    28.719     1.000000    290149355  16777216.00
    28.719     1.000000    290149355  18641351.10
    28.719     1.000000    290149355  20971519.98
    28.735     1.000000    290149357  23967451.45
    41.567     1.000000    290149360  27962026.68
    41.567     1.000000    290149360  33554432.00
    42.207     1.000000    290149363  37282702.28
    42.207     1.000000    290149363  41943039.96
    42.207     1.000000    290149363  47934902.91
    42.207     1.000000    290149363  55924053.19
    43.615     1.000000    290149365  67108864.00
    43.615     1.000000    290149365  74565404.57
    43.615     1.000000    290149365  83886080.31
    43.615     1.000000    290149365  95869805.31
    44.351     1.000000    290149368 111848106.39
    44.351     1.000000    290149368          inf
#[Mean    =        3.472, StdDeviation   =        1.422]
#[Max     =       44.320, Total count    =    290149368]
#[Buckets =           27, SubBuckets     =         2048]
